question;answer;_sum;answer_sum
Какие надписи должны быть на локомотивах и специальном самоходном подвижном составе?;"Стрелочные переводы на железнодорожных путях общего пользования должны иметь крестовины следующих марок:
на главных и приемо-отправочных железнодорожных путях, по которым происходит движение пассажирских поездов, - не круче 1/11;
на перекрестных переводах и одиночных, являющихся продолжением перекрестных, - не круче 1/9;
стрелочные переводы, по которым пассажирские поезда проходят только по прямому пути перевода, допускаются крестовины марки не круче 1/9, при этом допускается отклонение движения пассажирских поездов на боковой путь по стрелочным переводам марки 1/9, если замена таких переводов на марку 1/11 вызывает переустройство стрелочных горловин, осуществить которое в данное время не представляется возможным;
на приемо-отправочных железнодорожных путях грузового движения - не круче 1/9, симметричных крестовин - не круче 1/6;
на прочих железнодорожных путях - не круче 1/8, симметричных крестовин - не круче 1/4,5.
На железнодорожных путях необщего пользования допускается использование стрелочных переводов с крестовинами следующих марок:
на главных и приемо-отправочных железнодорожных путях - не круче 1/9, симметричных крестовин - не круче 1/6;
на прочих железнодорожных путях - не круче 1/7, симметричных крестовин - не круче 1/4,5;
на подгорочных железнодорожных путях - не круче 1/9, симметричных - не круче 1/6.
 На стрелочных переводах, глухих пересечениях и примыкающих к ним путям запрещается укладка рельсов разного типа.
--------------------------------
Подпункт 3.3 пункта 3 ГОСТ 33535-2015 ""Межгосударственный стандарт. Соединения и пересечения железнодорожных путей. Технические условия"", введенного в действие приказом Росстандарта от 29 октября 2015 г. N 1663-ст (М., ""Стандартинформ"", 2016), с изменениями ГОСТ 33535-2015 ""Соединения и пересечения железнодорожных путей. Технические условия"" (""ИУС ""Национальные стандарты"", 2019, N 2) (далее - ГОСТ 33535-2015).
 Расстояние между отведенным остряком и рамным рельсом должно обеспечивать проход колес без касания остряка. Разность ширины колеи и величины желоба между остряком и рамным рельсом в конце строжки остряка не должна быть более 1458 мм.
Вертикальный износ рамных рельсов, остряков, усовиков и сердечников крестовин и порядок их эксплуатации при превышении норм износа определяется локальным нормативным актом владельца инфраструктуры (владельца железнодорожных путей необщего пользования) в соответствии с проектной, эксплуатационной и ремонтной документацией.
Взаимное положение остряков и рамных рельсов контролируется средством измерений (далее - шаблон). Измерение производится в контрольных точках: в острие остряка и на расстоянии (450
 10) мм от него - для стрелок марки 1/22; (350
 10) мм - для стрелок марки 1/18; (200
 10) мм - для обыкновенных и симметричных стрелок марок 1/11 и 1/9; (120
 10) мм - для симметричных стрелок марки 1/6 и перекрестных переводов марки 1/9. При наличии просвета между наклонной гранью шаблона и головкой рамного рельса движение по стрелочному переводу в направлении от рамного рельса к крестовине запрещается.
При зазоре между подошвой остряка, подвижного (поворотного) сердечника и подушкой стрелочного башмака более 10 мм на двух и более брусьях в пределах участка прилегания к рамному рельсу (усовику) движение закрывается.
При наличии просвета между рабочей гранью упорных накладок и шейкой остряка (подвижного сердечника) более 10 мм на двух и более накладках, движение закрывается. ";"Какие надписи должны быть на локомотивах и специальном самоходном подвижном составе?Стрелочные переводы на железнодорожных путях общего пользования должны иметь крестовины следующих марок:
на главных и приемо-отправочных железнодорожных путях, по которым происходит движение пассажирских поездов, - не круче 1/11;
на перекрестных переводах и одиночных, являющихся продолжением перекрестных, - не круче 1/9;
стрелочные переводы, по которым пассажирские поезда проходят только по прямому пути перевода, допускаются крестовины марки не круче 1/9, при этом допускается отклонение движения пассажирских поездов на боковой путь по стрелочным переводам марки 1/9, если замена таких переводов на марку 1/11 вызывает переустройство стрелочных горловин, осуществить которое в данное время не представляется возможным;
на приемо-отправочных железнодорожных путях грузового движения - не круче 1/9, симметричных крестовин - не круче 1/6;
на прочих железнодорожных путях - не круче 1/8, симметричных крестовин - не круче 1/4,5.
На железнодорожных путях необщего пользования допускается использование стрелочных переводов с крестовинами следующих марок:
на главных и приемо-отправочных железнодорожных путях - не круче 1/9, симметричных крестовин - не круче 1/6;
на прочих железнодорожных путях - не круче 1/7, симметричных крестовин - не круче 1/4,5;
на подгорочных железнодорожных путях - не круче 1/9, симметричных - не круче 1/6.
 На стрелочных переводах, глухих пересечениях и примыкающих к ним путям запрещается укладка рельсов разного типа.
--------------------------------
Подпункт 3.3 пункта 3 ГОСТ 33535-2015 ""Межгосударственный стандарт. Соединения и пересечения железнодорожных путей. Технические условия"", введенного в действие приказом Росстандарта от 29 октября 2015 г. N 1663-ст (М., ""Стандартинформ"", 2016), с изменениями ГОСТ 33535-2015 ""Соединения и пересечения железнодорожных путей. Технические условия"" (""ИУС ""Национальные стандарты"", 2019, N 2) (далее - ГОСТ 33535-2015).
 Расстояние между отведенным остряком и рамным рельсом должно обеспечивать проход колес без касания остряка. Разность ширины колеи и величины желоба между остряком и рамным рельсом в конце строжки остряка не должна быть более 1458 мм.
Вертикальный износ рамных рельсов, остряков, усовиков и сердечников крестовин и порядок их эксплуатации при превышении норм износа определяется локальным нормативным актом владельца инфраструктуры (владельца железнодорожных путей необщего пользования) в соответствии с проектной, эксплуатационной и ремонтной документацией.
Взаимное положение остряков и рамных рельсов контролируется средством измерений (далее - шаблон). Измерение производится в контрольных точках: в острие остряка и на расстоянии (450
 10) мм от него - для стрелок марки 1/22; (350
 10) мм - для стрелок марки 1/18; (200
 10) мм - для обыкновенных и симметричных стрелок марок 1/11 и 1/9; (120
 10) мм - для симметричных стрелок марки 1/6 и перекрестных переводов марки 1/9. При наличии просвета между наклонной гранью шаблона и головкой рамного рельса движение по стрелочному переводу в направлении от рамного рельса к крестовине запрещается.
При зазоре между подошвой остряка, подвижного (поворотного) сердечника и подушкой стрелочного башмака более 10 мм на двух и более брусьях в пределах участка прилегания к рамному рельсу (усовику) движение закрывается.
При наличии просвета между рабочей гранью упорных накладок и шейкой остряка (подвижного сердечника) более 10 мм на двух и более накладках, движение закрывается. ";Стрелочные переводы должны иметь крестовины следующих марок: на главных и приемо-отправочных железнодорожных путях общего пользования и одиночных, симметричных крестовин - не круче 1/11, на перекрестных переводах, являющихся продолжением перекрестных, допускаются крестовины таких марок.
Какие надписи должны быть на пассажирских вагонах?;"В журнале движения поездов напротив номера поезда должна быть сделана соответствующая отметка в случаях приема или отправления поездов при запрещающем показании входного, маршрутного или выходного светофоров:
""РС"" - по регистрируемой связи;
""ПС"" - по пригласительному сигналу;
""ПР"" - по письменному разрешению.
В отметке ""РС"" должны быть указаны номер разрешения и время его передачи машинисту, литер светофора (или номер железнодорожного пути отправления, не имеющего выходного светофора).
Запись текста разрешения в журнале движения поездов не требуется.
На железнодорожных станциях, оборудованных системой документированной регистрации переговоров, разрешения о приеме и отправлении поездов при запрещающем показании светофора, передаваемые машинисту поезда по устройствам технологической железнодорожной электросвязи, регистрируются устройством автоматической регистрации переговоров данной системы. ";"Какие надписи должны быть на пассажирских вагонах?В журнале движения поездов напротив номера поезда должна быть сделана соответствующая отметка в случаях приема или отправления поездов при запрещающем показании входного, маршрутного или выходного светофоров:
""РС"" - по регистрируемой связи;
""ПС"" - по пригласительному сигналу;
""ПР"" - по письменному разрешению.
В отметке ""РС"" должны быть указаны номер разрешения и время его передачи машинисту, литер светофора (или номер железнодорожного пути отправления, не имеющего выходного светофора).
Запись текста разрешения в журнале движения поездов не требуется.
На железнодорожных станциях, оборудованных системой документированной регистрации переговоров, разрешения о приеме и отправлении поездов при запрещающем показании светофора, передаваемые машинисту поезда по устройствам технологической железнодорожной электросвязи, регистрируются устройством автоматической регистрации переговоров данной системы. ";В журнале движения поездов напротив номера поезда должна быть сделана соответствующая отметка в случаях приема и отправления поездов при запрещающем показании светофора. На пассажирских вагонах должны быть сделаны соответствующие надписи.
Какие надписи должны быть на грузовых, почтовых и багажных вагонах?;"Каждому жезлу присваивается номер и серия, наносится наименование железнодорожных станций, ограничивающих перегон.
Каждому перегону должна соответствовать своя серия жезлов. Установка жезловых аппаратов одной серии допускается не чаще чем через три перегона, а на подходах к железнодорожным узлам - через два перегона. В жезловых аппаратах обеих железнодорожных станций, ограничивающих перегон, при отсутствии на нем поездов должно быть в сумме четное число жезлов. ";"Какие надписи должны быть на грузовых, почтовых и багажных вагонах?Каждому жезлу присваивается номер и серия, наносится наименование железнодорожных станций, ограничивающих перегон.
Каждому перегону должна соответствовать своя серия жезлов. Установка жезловых аппаратов одной серии допускается не чаще чем через три перегона, а на подходах к железнодорожным узлам - через два перегона. В жезловых аппаратах обеих железнодорожных станций, ограничивающих перегон, при отсутствии на нем поездов должно быть в сумме четное число жезлов. ";На грузовых, почтовых и багажных вагонах должны быть надписи и надписи, нанесенные на железнодорожных станций, ограничивающих перегон. Какие надписи должны были быть на грузовых и почтовых вагонах.
Какие данные должны быть на железнодорожных сменных кузовах?;Количество людей и груза для одновременного проезда на съемной дрезине и прицепе не должно превышать установленного технической документацией. ;Какие данные должны быть на железнодорожных сменных кузовах?Количество людей и груза для одновременного проезда на съемной дрезине и прицепе не должно превышать установленного технической документацией. ;Количество людей и груза для одновременного проезда на съемной дрезине и прицепе не должно превышать установленного технической документацией требования к железнодорожным сменных кузовах. Какие данные должны быть на железнодорожных сменных кузовах.
Как устанавливается порядок проследования опытных образцов подвижного состава к месту проведения испытаний и обратно?;"Порядок проследования опытных образцов подвижного состава к месту проведения испытаний или выставочных мероприятий и обратно устанавливается локальным нормативным актом владельца инфраструктуры.
Порядок передислокации по инфраструктуре железнодорожного подвижного состава, отцепленного в пути следования по причине технической неисправности, к ближайшему месту проведения ремонта и железнодорожного подвижного состава на промывочно-пропарочные станции с обеспечением мер, гарантирующих безопасность движения и эксплуатации железнодорожного транспорта, устанавливается локальным нормативным актом владельца инфраструктуры. ";"Как устанавливается порядок проследования опытных образцов подвижного состава к месту проведения испытаний и обратно?Порядок проследования опытных образцов подвижного состава к месту проведения испытаний или выставочных мероприятий и обратно устанавливается локальным нормативным актом владельца инфраструктуры.
Порядок передислокации по инфраструктуре железнодорожного подвижного состава, отцепленного в пути следования по причине технической неисправности, к ближайшему месту проведения ремонта и железнодорожного подвижного состава на промывочно-пропарочные станции с обеспечением мер, гарантирующих безопасность движения и эксплуатации железнодорожного транспорта, устанавливается локальным нормативным актом владельца инфраструктуры. ";Порядок проследования опытных образцов подвижного состава к месту проведения испытаний и обратно устанавливается локальным нормативным актом владельца инфраструктуры. Порядок передислокации по инфраструктуре железнодорожного транспорта, отцепленного в пути следования по причине технической неисправности, устанавливается владельцем инфраструктуры.
Как устанавливается порядок передислокации железнодорожного подвижного состава?;"Прием поездов на железнодорожную станцию должен производиться на свободные железнодорожные пути, в соответствии с техническо-распорядительным актом, а в случае его отсутствия на железнодорожных путях необщего пользования - локальным нормативным актом владельца железнодорожных путей необщего пользования, при открытом входном светофоре, а пассажирских поездов (мотор-вагонных поездов) - на железнодорожные пути, оборудованные путевыми устройствами автоматической локомотивной сигнализации.
Порядок, обеспечивающий безопасность движения пассажирских поездов (мотор-вагонных поездов) при приеме на железнодорожные пути, не оборудованные этими устройствами, устанавливается локальным нормативным актом владельца инфраструктуры (владельца железнодорожных путей необщего пользования).
На отдельных железнодорожных станциях при длине железнодорожного пути, достаточной для установки двух мотор-вагонных поездов, допускается разделение железнодорожного пути маршрутным светофором на два участка, на которые разрешено принимать эти поезда.
При занятии мотор-вагонным поездом участка железнодорожного пути за маршрутным светофором, разделяющим железнодорожный путь приема, второй мотор-вагонный поезд принимается на свободный участок до этого светофора по сигналу на входном (маршрутном) светофоре. Показания входного (маршрутного) светофора должны быть зависимы от показаний маршрутного светофора, разделяющего железнодорожный путь приема.
Одновременный прием двух мотор-вагонных поездов с противоположных направлений на такой железнодорожный путь не допускается.
Перечень железнодорожных станций, на которых допускается прием мотор-вагонных поездов на отдельные участки железнодорожного пути, и порядок, обеспечивающий безопасность пассажиров и безопасность движения поездов, устанавливаются локальным нормативным актом владельца инфраструктуры (владельца железнодорожных путей необщего пользования).
Установленный для этих железнодорожных станций порядок приема мотор-вагонных поездов допускается также использовать при приеме на железнодорожную станцию одиночных локомотивов, мотовозов и дрезин. ";"Как устанавливается порядок передислокации железнодорожного подвижного состава?Прием поездов на железнодорожную станцию должен производиться на свободные железнодорожные пути, в соответствии с техническо-распорядительным актом, а в случае его отсутствия на железнодорожных путях необщего пользования - локальным нормативным актом владельца железнодорожных путей необщего пользования, при открытом входном светофоре, а пассажирских поездов (мотор-вагонных поездов) - на железнодорожные пути, оборудованные путевыми устройствами автоматической локомотивной сигнализации.
Порядок, обеспечивающий безопасность движения пассажирских поездов (мотор-вагонных поездов) при приеме на железнодорожные пути, не оборудованные этими устройствами, устанавливается локальным нормативным актом владельца инфраструктуры (владельца железнодорожных путей необщего пользования).
На отдельных железнодорожных станциях при длине железнодорожного пути, достаточной для установки двух мотор-вагонных поездов, допускается разделение железнодорожного пути маршрутным светофором на два участка, на которые разрешено принимать эти поезда.
При занятии мотор-вагонным поездом участка железнодорожного пути за маршрутным светофором, разделяющим железнодорожный путь приема, второй мотор-вагонный поезд принимается на свободный участок до этого светофора по сигналу на входном (маршрутном) светофоре. Показания входного (маршрутного) светофора должны быть зависимы от показаний маршрутного светофора, разделяющего железнодорожный путь приема.
Одновременный прием двух мотор-вагонных поездов с противоположных направлений на такой железнодорожный путь не допускается.
Перечень железнодорожных станций, на которых допускается прием мотор-вагонных поездов на отдельные участки железнодорожного пути, и порядок, обеспечивающий безопасность пассажиров и безопасность движения поездов, устанавливаются локальным нормативным актом владельца инфраструктуры (владельца железнодорожных путей необщего пользования).
Установленный для этих железнодорожных станций порядок приема мотор-вагонных поездов допускается также использовать при приеме на железнодорожную станцию одиночных локомотивов, мотовозов и дрезин. ";Прием поездов на железнодорожную станцию должен производиться на свободные железнодорожные пути, оборудованные путевыми устройствами автоматической локомотивной сигнализации. Порядок передислокации железнодорожного подвижного состава устанавливается локальным нормативным актом владельца инфраструктуры (владельца железнодорожных путей необщего пользования).
Какие устройства запрещается эксплуатировать на инфраструктуре и железнодорожных путях необщего пользования?;"На инфраструктуре и железнодорожных путях необщего пользования запрещается эксплуатировать железнодорожный подвижной состав со следующими отсутствующими или неисправными устройствами:
специальными подножками, поручнями или приспособлениями, предусмотренными конструкцией локомотива для безопасности обслуживающего персонала при эксплуатации, осмотре, техническом обслуживании или ремонте;
предусмотренными конструкцией локомотива ограждениями вращающихся частей дизеля, электрических машин, вентиляторов, компрессоров. ";"Какие устройства запрещается эксплуатировать на инфраструктуре и железнодорожных путях необщего пользования?На инфраструктуре и железнодорожных путях необщего пользования запрещается эксплуатировать железнодорожный подвижной состав со следующими отсутствующими или неисправными устройствами:
специальными подножками, поручнями или приспособлениями, предусмотренными конструкцией локомотива для безопасности обслуживающего персонала при эксплуатации, осмотре, техническом обслуживании или ремонте;
предусмотренными конструкцией локомотива ограждениями вращающихся частей дизеля, электрических машин, вентиляторов, компрессоров. ";На инфраструктуре и железнодорожных путях необщего пользования запрещается эксплуатировать железнодорожный подвижной состав со следующими отсутствующими или неисправными устройствами: специальные подножки, поручни или приспособления, предусмотренные конструкцией локомотива для безопасности обслуживающего персонала при эксплуатации, осмотре, техническом обслуживании или ремонте.
Какие ограждения должны быть предусмотрены конструкцией локомотива?;"При закреплении железнодорожного подвижного состава тормозными башмаками применяются следующие минимальные нормы:
1) на горизонтальных железнодорожных путях и железнодорожных путях с уклонами до 0,0005 включительно - по одному тормозному башмаку для закрепления любого количества вагонов с обеих сторон (состава, группы вагонов или одиночного вагона);
2) на железнодорожных путях с уклонами более 0,0005 при закреплении:
а) одиночных вагонов;
б) сплоток локомотивов в недействующем состоянии;
в) рефрижераторных вагонов при условии, что в группе (секции) все вагоны груженые или все порожние (в том числе порожняя секция с машинным отделением);
г) составов или групп вагонов, состоящих из однородного по массе (брутто) железнодорожного подвижного состава: грузовых груженых или порожних вагонов независимо от их рода, пассажирских вагонов, мотор-вагонного подвижного состава;
д) смешанных (разнородных по весу) составов или групп, состоящих из груженых и порожних вагонов или груженых вагонов различной массы, при условии, что тормозные башмаки укладываются под вагоны с нагрузкой на ось не менее 15 т (брутто), а при отсутствии таких вагонов - под вагоны с меньшей нагрузкой на ось, но максимальной для закрепляемой группы;
3) на железнодорожных путях с уклонами более 0,0005 при закреплении смешанных составов или групп, состоящих из разнородных по массе вагонов, если тормозные башмаки укладываются под порожние вагоны, вагоны с нагрузкой менее 15 т на ось брутто, не являющиеся самыми тяжелыми вагонами в группе, или под вагоны с неизвестной нагрузкой на ось. ";"Какие ограждения должны быть предусмотрены конструкцией локомотива?При закреплении железнодорожного подвижного состава тормозными башмаками применяются следующие минимальные нормы:
1) на горизонтальных железнодорожных путях и железнодорожных путях с уклонами до 0,0005 включительно - по одному тормозному башмаку для закрепления любого количества вагонов с обеих сторон (состава, группы вагонов или одиночного вагона);
2) на железнодорожных путях с уклонами более 0,0005 при закреплении:
а) одиночных вагонов;
б) сплоток локомотивов в недействующем состоянии;
в) рефрижераторных вагонов при условии, что в группе (секции) все вагоны груженые или все порожние (в том числе порожняя секция с машинным отделением);
г) составов или групп вагонов, состоящих из однородного по массе (брутто) железнодорожного подвижного состава: грузовых груженых или порожних вагонов независимо от их рода, пассажирских вагонов, мотор-вагонного подвижного состава;
д) смешанных (разнородных по весу) составов или групп, состоящих из груженых и порожних вагонов или груженых вагонов различной массы, при условии, что тормозные башмаки укладываются под вагоны с нагрузкой на ось не менее 15 т (брутто), а при отсутствии таких вагонов - под вагоны с меньшей нагрузкой на ось, но максимальной для закрепляемой группы;
3) на железнодорожных путях с уклонами более 0,0005 при закреплении смешанных составов или групп, состоящих из разнородных по массе вагонов, если тормозные башмаки укладываются под порожние вагоны, вагоны с нагрузкой менее 15 т на ось брутто, не являющиеся самыми тяжелыми вагонами в группе, или под вагоны с неизвестной нагрузкой на ось. ";При закреплении железнодорожного подвижного состава тормозными башмаками применяются следующие минимальные нормы: на горизонтальных железнодорожных путях и на горизонтальных путях с уклонами до 0,0005 включительно - по одному тормозному башмаку для закрепления любого количества вагонов с обеих сторон.
Какие локомотивы запрещается включать в состав поезда на железнодорожных путях необщего пользования?;"Запрещается включать в состав поезда пассажирские вагоны (кроме случаев перевозки железнодорожного подвижного состава в качестве груза на своих осях), имеющие:
неисправность электропневматического тормоза;
неисправность системы отопления или электроотопления;
неисправность электрооборудования, вентиляции, климатических систем;
неисправность радиосвязи начальника (механика-бригадира) пассажирского поезда с машинистом локомотива в пассажирском вагоне с радиокупе (штабном вагоне).
Запрещается выдавать под пассажирские поезда электровозы без исправно работающего устройства отбора мощности для высоковольтного отопления с учетом расхода электроэнергии на отопление вагонов.
Запрещается следование пассажирских вагонов на тележках типа КВЗ-5, специальных вагонов на тележках типа КВЗ-И2 со скоростью более 120 км/ч. Запрещается включать в пассажирские поезда специальные вагоны на тележках типа КВЗ-И2, ЦМВ, КВЗ-5. ";"Какие локомотивы запрещается включать в состав поезда на железнодорожных путях необщего пользования?Запрещается включать в состав поезда пассажирские вагоны (кроме случаев перевозки железнодорожного подвижного состава в качестве груза на своих осях), имеющие:
неисправность электропневматического тормоза;
неисправность системы отопления или электроотопления;
неисправность электрооборудования, вентиляции, климатических систем;
неисправность радиосвязи начальника (механика-бригадира) пассажирского поезда с машинистом локомотива в пассажирском вагоне с радиокупе (штабном вагоне).
Запрещается выдавать под пассажирские поезда электровозы без исправно работающего устройства отбора мощности для высоковольтного отопления с учетом расхода электроэнергии на отопление вагонов.
Запрещается следование пассажирских вагонов на тележках типа КВЗ-5, специальных вагонов на тележках типа КВЗ-И2 со скоростью более 120 км/ч. Запрещается включать в пассажирские поезда специальные вагоны на тележках типа КВЗ-И2, ЦМВ, КВЗ-5. ";Запрещается включать в состав поезда пассажирские вагоны, имеющие неисправность электропневматического тормоза, неисправность системы отопления или электроотопления. Запрещается выдавать под пассажирские поезда электровозы без исправно работающего устройства отбора мощности для высоковольтного отопления.
